Year,Sampling Date,No Cover Crop_1,No Cover Crop_2,No Cover Crop_3,No Cover Crop_Avg,Cover Crop_1,Cover Crop_2,Cover Crop_3,Cover Crop_Avg,Percent Reduction
2022,15-Apr,1.33,1.34,1.35,1.34,1.30,1.23,1.30,1.28,4.73
2022,25-Apr,1.37,1.37,1.39,1.38,1.28,1.32,1.22,1.27,7.51
2022,5-May,1.44,1.43,1.45,1.44,1.22,1.29,1.24,1.25,13.19
2022,16-May,1.49,1.47,1.47,1.48,1.25,1.33,1.30,1.29,12.42
2022,24-May,1.36,1.36,1.36,1.36,1.09,1.08,1.07,1.08,20.59
2022,31-May,1.40,1.42,1.43,1.42,1.07,1.09,1.11,1.09,23.06
2022,14-Jun,1.45,1.46,1.46,1.46,1.23,1.28,1.25,1.25,13.96
2022,23-Jun,1.44,1.44,1.44,1.44,1.33,1.30,1.24,1.29,10.42
2022,5-Jul,1.48,1.47,1.48,1.48,1.30,1.34,1.29,1.31,11.29
2022,11-Jul,1.46,1.46,1.45,1.46,1.33,1.29,1.35,1.32,9.15
2022,25-Jul,1.41,1.41,1.42,1.41,1.30,1.26,1.29,1.28,9.20
2022,9-Aug,1.44,1.43,1.43,1.43,1.32,1.28,1.31,1.30,9.07
2022,26-Aug,1.46,1.46,1.46,1.46,1.33,1.30,1.36,1.33,8.90
2022,16-Sep,1.47,1.45,1.47,1.46,1.38,1.32,1.33,1.34,8.20
2023,13-Apr,1.32,1.32,1.31,1.32,1.29,1.25,1.29,1.28,3.04
2023,18-Apr,1.34,1.34,1.34,1.34,1.32,1.31,1.27,1.30,2.99
2023,26-Apr,1.38,1.36,1.38,1.37,1.30,1.35,1.33,1.33,3.40
2023,1-May,1.42,1.42,1.41,1.42,1.38,1.34,1.35,1.36,4.24
2023,7-May,1.44,1.42,1.40,1.42,1.33,1.38,1.32,1.34,5.40
2023,12-May,1.43,1.43,1.44,1.43,1.31,1.27,1.30,1.29,9.77
2023,23-May,1.44,1.44,1.43,1.44,1.23,1.18,1.16,1.19,17.17
2023,30-May,1.46,1.48,1.48,1.47,1.22,1.17,1.14,1.18,20.14
2023,13-Jun,1.47,1.47,1.46,1.47,1.11,1.07,1.09,1.09,25.68
2023,23-Jun,1.45,1.45,1.45,1.45,1.18,1.16,1.20,1.18,18.62
2023,30-Jun,1.47,1.47,1.47,1.47,1.25,1.29,1.30,1.28,12.93
2023,6-Jul,1.47,1.48,1.48,1.48,1.31,1.30,1.32,1.31,11.29
2023,14-Jul,1.45,1.45,1.45,1.45,1.28,1.34,1.30,1.31,9.89
2023,20-Jul,1.45,1.47,1.47,1.46,1.34,1.35,1.32,1.34,8.66
2023,2-Aug,1.46,1.47,1.46,1.46,1.34,1.31,1.37,1.34,8.43
2023,16-Aug,1.47,1.47,1.47,1.47,1.34,1.38,1.33,1.35,8.16
